Flat profile:

Each sample counts as 0.01 seconds.
  %   cumulative   self              self     total           
 time   seconds   seconds    calls  ms/call  ms/call  name    
  0.00      0.66     0.00    10952     0.00     0.00  v__scanner__Scanner_ident_dec_number
  0.00      0.66     0.00    10610     0.00     0.00  builtin__string_contains
  0.00      0.66     0.00    10141     0.00     0.00  indent_v__token__Pos_str
  0.00      0.66     0.00     9925     0.00     0.00  v__gen__c__Gen_new_tmp_var
  0.00      0.66     0.00     9911     0.00     0.00  v__checker__Checker_get_default_fmt
  0.00      0.66     0.00     9597     0.00     0.00  v__parser__Parser_register_used_import
  0.00      0.66     0.00     9412     0.00     0.00  v__gen__c__Gen_need_tmp_var_in_array_call
  0.00      0.66     0.00     9275     0.00     0.00  builtin__map_clone_int_4
  0.00      0.66     0.00     8649     0.00     0.00  v__parser__Parser_enum_val
  0.00      0.66     0.00     8634     0.00     0.00  v__parser__Parser_return_stmt
  0.00      0.66     0.00     8501     0.00     0.00  v__checker__Checker_enum_val
  0.00      0.66     0.00     8288     0.00     0.00  v__ast__Table_dependent_names_in_stmt
  0.00      0.66     0.00     8157     0.00     0.00  v__ast__Table_type_size
  0.00      0.66     0.00     8089     0.00     0.00  v__ast__Scope_innermost
  0.00      0.66     0.00     7816     0.00     0.00  v__depgraph__OrderedDepMap_get
  0.00      0.66     0.00     7766     0.00     0.00  v__gen__c__Gen_enum_val
  0.00      0.66     0.00     7709     0.00     0.00  v__ast__Fn_struct_eq
  0.00      0.66     0.00     7534     0.00     0.00  v__checker__Checker_check_any_type
  0.00      0.66     0.00     7506     0.00     0.00  v__parser__Parser_has_prev_newline
  0.00      0.66     0.00     7373     0.00     0.00  v__gen__c__Gen_ret_styp
  0.00      0.66     0.00     7367     0.00     0.00  v__parser__Parser_has_prev_line_comment_or_label
  0.00      0.66     0.00     7239     0.00     0.00  builtin__StrIntpType_str
  0.00      0.66     0.00     7239     0.00     0.00  builtin__get_str_intp_u32_format
  0.00      0.66     0.00     7239     0.00     0.00  v__ast__Table_final_type
  0.00      0.66     0.00     7239     0.00     0.00  v__gen__c__Gen_str_format
  0.00      0.66     0.00     7239     0.00     0.00  v__gen__c__Gen_str_val
