Flat profile:

Each sample counts as 0.01 seconds.
  %   cumulative   self              self     total           
 time   seconds   seconds    calls  ms/call  ms/call  name    
  0.00      0.65     0.00     4300     0.00     0.00  v__checker__Checker_cast_expr
  0.00      0.65     0.00     4253     0.00     0.00  v__transformer__Transformer_check_safe_array
  0.00      0.65     0.00     4233     0.00     0.00  v__checker__Checker_check_multiple_ptr_match
  0.00      0.65     0.00     4206     0.00     0.00  v__depgraph__OrderedDepMap_set
  0.00      0.65     0.00     4188     0.00     0.00  strings__Builder_cut_to
  0.00      0.65     0.00     4173     0.00     0.00  v__markused__Walker_fn_by_name
  0.00      0.65     0.00     4157     0.00     0.00  v__checker__Checker_markused_castexpr
  0.00      0.65     0.00     4141     0.00     0.00  v__parser__Parser_fn_params
  0.00      0.65     0.00     4103     0.00     0.00  v__checker__Checker_fn_decl
  0.00      0.65     0.00     4083     0.00     0.00  v__gen__c__Gen_fn_decl
  0.00      0.65     0.00     4081     0.00     0.00  v__parser__Parser_fn_decl
  0.00      0.65     0.00     4004     0.00     0.00  v__scanner__Scanner_ident_hex_number
  0.00      0.65     0.00     3982     0.00     0.00  v__ast__Table_find_method_from_embeds
  0.00      0.65     0.00     3970     0.00     0.00  v__checker__Checker_check_noreturn_fn_decl
  0.00      0.65     0.00     3940     0.00     0.00  v__gen__c__Gen_is_used_by_main
  0.00      0.65     0.00     3870     0.00     0.00  v__gen__c__Gen_fn_call
  0.00      0.65     0.00     3862     0.00     0.00  v__type_resolver__TypeResolver_resolve_args
  0.00      0.65     0.00     3851     0.00     0.00  v__checker__Checker_promote
  0.00      0.65     0.00     3838     0.00     0.00  builtin__map_delete
  0.00      0.65     0.00     3822     0.00     0.00  v__checker__Checker_index_expr
  0.00      0.65     0.00     3798     0.00     0.00  v__parser__Parser_prefix_expr
  0.00      0.65     0.00     3787     0.00     0.00  v__gen__c__Gen_string_inter_literal
  0.00      0.65     0.00     3643     0.00     0.00  v__gen__c__Gen_struct_init_field
  0.00      0.65     0.00     3643     0.00     0.00  v__gen__c__Gen_struct_init_field_default
  0.00      0.65     0.00     3597     0.00     0.00  v__parser__Parser_index_expr
  0.00      0.65     0.00     3510     0.00     0.00  v__checker__Checker_struct_init
  0.00      0.65     0.00     3443     0.00     0.00  v__checker__Checker_check_uninitialized_struct_fields_and_embeds
  0.00      0.65     0.00     3408     0.00     0.00  v__checker__Checker_prefix_expr
  0.00      0.65     0.00     3404     0.00     0.00  v__gen__c__Gen_add_commas_and_prevent_long_lines
  0.00      0.65     0.00     3388     0.00     0.00  v__parser__Parser_is_only_array_type
  0.00      0.65     0.00     3343     0.00     0.00  v__ast__Expr_sumtype_eq
  0.00      0.65     0.00     3226     0.00     0.00  v__depgraph__OrderedDepMap_add
  0.00      0.65     0.00     3183     0.00     0.00  v__checker__Checker_check_index
  0.00      0.65     0.00     3127     0.00     0.00  v__markused__Walker_fn_decl
  0.00      0.65     0.00     3103     0.00     0.00  v__gen__c__Gen_index_expr
  0.00      0.65     0.00     3081     0.00     0.00  builtin__string_split_nth
  0.00      0.65     0.00     3046     0.00     0.00  builtin__string_repeat
  0.00      0.65     0.00     2928     0.00     0.00  builtin__string_to_upper_ascii
  0.00      0.65     0.00     2895     0.00     0.00  v__checker__Checker_smartcast
  0.00      0.65     0.00     2860     0.00     0.00  v__gen__c__Gen_c_const_name
  0.00      0.65     0.00     2797     0.00     0.00  v__ast__TypeSymbol_has_method_with_generic_parent
  0.00      0.65     0.00     2732     0.00     0.00  v__gen__c__Gen_cast_expr
  0.00      0.65     0.00     2689     0.00     0.00  builtin__array_get
  0.00      0.65     0.00     2650     0.00     0.00  v__ast__Table_find_or_register_array
  0.00      0.65     0.00     2581     0.00     0.00  v__gen__c__Gen_expr_string
  0.00      0.65     0.00     2551     0.00     0.00  v__markused__Walker_mark_fn_ret_and_params
  0.00      0.65     0.00     2550     0.00     0.00  v__checker__Checker_ensure_generic_type_specify_type_names
  0.00      0.65     0.00     2548     0.00     0.00  v__ast__Table_does_type_implement_interface
  0.00      0.65     0.00     2537     0.00     0.00  v__gen__c__Gen_fn_decl_params
  0.00      0.65     0.00     2522     0.00     0.00  v__ast__Table_unaliased_type
  0.00      0.65     0.00     2503     0.00     0.00  strings__Builder_after
  0.00      0.65     0.00     2503     0.00     0.00  v__ast__Scope_has_inherited_vars
  0.00      0.65     0.00     2501     0.00     0.00  v__gen__c__Gen_c_fn_name
  0.00      0.65     0.00     2501     0.00     0.00  v__gen__c__Gen_write_fn_attrs
  0.00      0.65     0.00     2499     0.00     0.00  v__gen__c__Gen_gen_attrs
  0.00      0.65     0.00     2499     0.00     0.00  v__gen__c__Gen_gen_fn_decl
  0.00      0.65     0.00     2499     0.00     0.00  v__util__should_bundle_module
  0.00      0.65     0.00     2493     0.00     0.00  v__markused__Walker_defer_stmts
  0.00      0.65     0.00     2469     0.00     0.00  v__markused__Walker_mark_const_as_used
  0.00      0.65     0.00     2444     0.00     0.00  v__gen__c__Gen_unlock_locks
  0.00      0.65     0.00     2428     0.00     0.00  os__normalize_path_in_builder
  0.00      0.65     0.00     2407     0.00     0.00  v__gen__c__Gen_write_defer_stmts_when_needed
  0.00      0.65     0.00     2406     0.00     0.00  v__parser__Parser_check_for_impure_v
  0.00      0.65     0.00     2398     0.00     0.00  v__parser__Parser_fn_receiver
  0.00      0.65     0.00     2388     0.00     0.00  v__ast__Table_find_method_with_embeds
  0.00      0.65     0.00     2377     0.00     0.00  builtin__array_slice
  0.00      0.65     0.00     2286     0.00     0.00  v__gen__c__Gen_struct_init
  0.00      0.65     0.00     2279     0.00     0.00  v__transformer__Transformer_simplify_nested_interpolation_in_sb
  0.00      0.65     0.00     2254     0.00     0.00  v__checker__Checker_promote_num
  0.00      0.65     0.00     2231     0.00     0.00  v__transformer__Transformer_array_init
  0.00      0.65     0.00     2214     0.00     0.00  os__base
  0.00      0.65     0.00     2208     0.00     0.00  v__gen__c__Gen_infix_expr_cmp_op
